"Service","Titre","TL;DR","Sujet","Good/bad/neutral/blocker","Source (Titre : URL)","Score : 0 à 100 (pondération)"
"Facebook","Juridiction californienne","Le droit de l’État de Californie est le droit appliqué à cette Déclaration, de même que toute action entre vous et nous, sans égard aux principes de conflit de lois. Vous acceptez de respecter la juridiction des tribunaux du comté de Santa Clara, en Californie, dans le cadre de telles actions. + Si vous résidez en Californie, vous renoncez à la clause §1542 du code civil de l'Etat de Californie","Juridiction compétente","bad","https://www.facebook.com/legal/terms",50
"Facebook","100$ de clause limitative de responsabilité ou un an de paiement","-  ""L'agrégat total de notre reponsabilité envers vous dans le cadre de cette déclaration ou facebook ne pourra dépasser le montant payé par vous au cours des 12 derniers mois précédents ou $100 USD, le montant le plus élevé étant celui pris en compte","Clauses limitatives de responsabilité","neutral","https://www.facebook.com/legal/terms",50
"Facebook","Rembourser facebook en cas de responsabilité personnelle","-        En cas de plainte à notre encontre suite à vos actions, à votre contenu ou à vos informations sur Facebook, vous indemniserez Facebook pour toute perte, responsabilité, réclamation, demande, dépenses et frais, y compris les honoraires raisonnables d’avocat, afférents à cette plainte","Poursuites possibles","neutral","https://www.facebook.com/legal/terms",50
"Facebook","de la commercialisation des infos à la publicité ciblée","1/  Votre nom, vos photos de profil, votre sexe, vos photos de couverture, vos réseaux, votre nom d’utilisateur et votre identifiant sont traités comme toute autre information que vous choisissez de rendre publique
2/ -        Nous utilisons les informations que nous recevons pour les services et les fonctions que nous vous fournissons, à vous et à d’autres utilisateurs, tels que vos amis, nos partenaires, les annonceurs qui achètent des publicités sur le site, et les développeurs qui conçoivent les jeux, les applications et les sites web que vous utilisez
3/  L’utilisateur donne la permission, selon ses paramètres, d’utiliser nom et photo de profil en association à du contenu commercial (publicité ciblée)","Relations avec les tiers","blocker","https://www.facebook.com/legal/terms",100
"Facebook","Une licence accordée… jusqu'à la supression du compte","1/  Vous restez toujours propriétaire des informations vous concernant que nous recevons, même si vous nous donnez l’autorisation de les utiliser. Votre confiance nous est précieuse, voici pourquoi nous ne communiquons pas les informations vous concernant que nous recevons à d’autres parties, sauf si : 
o nous avons reçu votre autorisation ; 
o nous vous avons prévenu, par exemple en vous en informant dans cette politique ; ou 
o nous avons supprimé votre nom ou toute autre information personnelle permettant de vous identifier. 

2/ -        Concernant les contenus protégés par la propriété intellectuelle : « vous nous accordez une licence non-exclusive, transférable, sous-licenciable, sans redevance et mondiale pour l’utilisation des contenus de propriété intellectuelle que vous publiez sur Facebook ou en relation avec Facebook »
o        Prend fin lors de la suppression des contenus ou le compte
        Peuvent subsister un temps sur les bases de données","Droit accordés aux utilisateurs (licences)","bad","https://www.facebook.com/legal/terms",70
"Facebook","Possibilité de suppression, mais il faut la trouver","2/ -        En général, les informations associées à votre compte sont conservées jusqu’à la suppression de ce dernier. Pour certaines catégories de données, nous pouvons également vous informer de pratiques spécifiques de rétention des données.","Conditions de résiliation","bad","https://www.facebook.com/legal/terms",70
"Facebook","Straight to the USA","-        Acceptation que les données soient envoyées et traitées aux USA.
o        Précision : Aucune disposition de cet accord ne peut nous empêcher de respecter la loi (logique !)","Stockage des données (modalités et localisation)","bad","https://www.facebook.com/legal/terms",60
"Facebook",,,"Utilisation des cookies",,"https://www.facebook.com/legal/terms",
"Facebook","Possibilité de commenter les changements et information continue","1/  possibilité de faire des commentaires sur les modifications apportées à la présente Déclaration dans un délai de sept (7) jours (par exemple en publiant l’objet de la modification sur la Page Facebook Site Governance).
2/  Information de changement des CGU sur  la Facebook Site Governance Page
3/  Acceptation tacite du changement des CGU par la poursuite de l’utilisation","Modalités de modification des CGU, de communication, d'acceptation par les utilisateurs","good","https://www.facebook.com/legal/terms",50
"Facebook","lisible","Lisibilité correcte (traduction de l'anglais), des exemples donnés mais aucune certitude quant à leur pertinence (difficulté à voir, à partir des CGU, dans quelle mesure facebook utilise les données utilisateurs à fins commerciales)","Lisibilité et intelligibilité des CGU","good","https://www.facebook.com/legal/terms",20
"Facebook","Respect des bonnes mœurs","-        Engagements de la part des utilisateurs dans la façon d’utiliser et les contenus publiés (ni pornographie, ni racisme etc...)
(Pas de pseudonymes + Pas d’identification des personnes qui ne sont pas sur FB sans leur accord)","Engagements de la part des utilisateurs","good","https://www.facebook.com/legal/terms",40
"Facebook","Des infos stockées à notre insu","1/ Lorsque vous publiez des informations telles que des photos ou des vidéos sur Facebook, nous pouvons recevoir des données supplémentaires (ou métadonnées), comme l’heure, la date et l’endroit où vous avez pris la photo ou la vidéo. […] Nous recevons les données de l’ordinateur, du téléphone portable ou de tout autre appareil que vous pouvez utiliser pour accéder à Facebook, y compris lorsque plusieurs utilisateurs se connectent à partir du même appareil. Cela peut comprendre votre adresse IP et d’autres informations comme votre fournisseur d’accès à internet, le lieu, le type de navigateur que vous utilisez ou les pages que vous consultez. Par exemple, nous pouvons obtenir vos coordonnées GPS ou d’autres informations de géolocalisation pour vous indiquer si certains de vos amis sont à proximité","Autres informations","bad","https://www.facebook.com/legal/terms",
